Date,Open,High,Low,Close,Adj Close,Volume
2022-01-04,187.000000,188.929993,181.009995,187.229996,187.229996,8484200
2022-01-05,186.500000,193.580002,184.729996,186.500000,186.500000,17141200
2022-01-06,184.520004,188.470001,183.000000,185.949997,185.949997,9117700
2022-01-07,186.600006,188.360001,180.119995,180.410004,180.410004,7381100
2022-01-10,178.270004,180.000000,173.759995,179.679993,179.679993,11159300
2022-01-11,179.190002,185.649994,177.220001,185.399994,185.399994,9591000
2022-01-12,186.600006,189.460007,185.190002,186.419998,186.419998,7317500
2022-01-13,188.699997,191.580002,183.289993,183.889999,183.889999,10190900
2022-01-14,182.800003,190.089996,182.009995,188.690002,188.690002,9579900
2022-01-18,185.869995,186.000000,178.270004,178.860001,178.860001,10471200
2022-01-19,180.570007,181.210007,172.270004,172.470001,172.470001,10082700
2022-01-20,174.529999,174.990005,166.289993,166.500000,166.500000,9468500
2022-01-21,166.240005,172.039993,164.570007,164.929993,164.929993,11898700
2022-01-24,162.179993,170.820007,158.600006,170.070007,170.070007,17489100
2022-01-25,166.169998,170.320007,161.199997,165.449997,165.449997,10708500
2022-01-26,168.580002,174.550003,163.899994,167.000000,167.000000,10492200
2022-01-27,169.309998,171.449997,160.610001,161.199997,161.199997,10743000
2022-01-28,162.009995,166.940002,157.380005,166.809998,166.809998,10320800
2022-01-31,167.059998,175.949997,165.800003,175.759995,175.759995,11273500
2022-02-01,176.440002,177.429993,173.110001,177.130005,177.130005,9724600
2022-02-02,180.940002,188.639999,180.259995,188.199997,188.199997,25646300
2022-02-03,180.800003,192.100006,177.289993,179.100006,179.100006,36120200
2022-02-04,178.990005,182.410004,176.809998,179.470001,179.470001,15698200
2022-02-07,179.669998,180.649994,174.440002,175.089996,175.089996,10376300
2022-02-08,174.309998,179.289993,173.979996,178.589996,178.589996,10163900
2022-02-09,181.399994,184.000000,178.949997,183.949997,183.949997,9659200
